Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C14",C_0603,4,100nF,C14663
"C12, C13, C5, C6, C7, C9",C_0603,6,10nF,C57112
"C2, C3, C8",C_0603,3,1uF,C15849
C4,C_0603,1,4.7uF,C19666
D1,D_0603,1,Yellow,C89811
FB1,FB_0603,1,~,C14709
J1,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,C5445396
"R1, R2",R_0603,2,5.1kΩ,C23186
R3,R_0603,1,1MΩ,C22935
"R4, R5, R6, R8, R9",R_0603,5,1kΩ,C21190
R7,R_0603,1,220Ω,C22962
RV1,Potentiometer_Bourns_3314G_Vertical,1,1M,C780218
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
SW1,SW_SPDT_L7.0mm_H16.0mm_W7.00mm,1,SW_SPDT,C7435557
U1,SOT-23-6,1,USBLC6-2SC6,C7519
"U2, U3, U6",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,3,NE555DR,C7593
U4,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,74HC08D,C5593
U5,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,74HC32D,C6838
U7,SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,1,74HC04D,C5590
