Designator,Mid X,Mid Y,Rotation,Layer
C1,60.025,16.6,0.0,top
C10,43.375,25.52,90.0,top
C11,32.975,25.63,90.0,top
C12,7.075,12.67,90.0,top
C13,9.98,16.75,0.0,top
C14,22.325,25.65,90.0,top
C2,58.275,18.5,0.0,top
C3,55.125,18.525,180.0,top
C4,52.775,11.65,270.0,top
C5,45.825,16.575,0.0,top
C6,34.155,9.415,0.0,top
C7,47.8,9.45,0.0,top
C8,39.23,11.64,270.0,top
C9,32.18,16.465,0.0,top
D1,18.4,31.91,0.0,top
FB1,56.7,16.6,180.0,top
J1,67.375,16.225,90.0,top
J2,58.4,29.0,180.0,top
R1,62.55,18.775,90.0,top
R2,62.575,15.78,90.0,top
R3,42.675,11.65,90.0,top
R4,40.95,11.65,90.0,top
R5,29.18,11.62,90.0,top
R6,27.605,11.615,90.0,top
R7,17.6,28.805,90.0,top
R8,16.975,11.855,90.0,top
R9,13.925,16.75,0.0,top
RV1,23.475,13.55,0.0,top
S1,57.2,8.525,180.0,top
SW1,13.1,23.0,0.0,top
U1,59.5,13.8,180.0,top
U2,47.8,12.975,0.0,top
U3,34.155,12.94,0.0,top
U4,48.1,28.5525,90.0,top
U5,37.7,28.675,90.0,top
U6,11.975,13.325,0.0,top
U7,27.05,28.69,90.0,top
